websiteUrl,websiteName,highestCat,urlTag,subCat
http://www.wowproject.co.kr/,와우 프로젝트 , World,와우 프로젝트에 오신것을 환영합니다., Korean 
http://www.burstingthebubble.com/,Bursting the Bubble , Kids and Teens,What's OK At Home | Domestic Violence Resource Centre (DVRCV), and 
http://www.365homecare.com/,365홈케어 , World,The domain name 365homecare.com is for sale, Korean 
http://baiskoop.blogspot.com/,බයිස්කෝප් සිංහලෙන් , World,~බයිස්කෝප් සිංහලෙන්~, Sinhala 
http://hankooki.com/,Hankooki , World,한국아이닷컴!, Korean 
http://www.sports2i.com/,스포츠투아이 , World,스포츠투아이㈜, Korean 
http://www.ibtada.com/,ابتدا , World,Ibtada.com. Largest Urdu website for kids., Urdu 
http://www.thaiconsulatela.org/,สถานกงสุลใหญ่ ณ นครลอสแอนเจลิส , World,"Landing page - Royal Thai Consulate-General, Los Angeles", Thai 
http://www.kodoom.com/,کدوم دات کام , World,"جمع‌آوری خبر از ما، انتخاب از شما - Kodoom
    ", Persian 
http://hindi.webdunia.com/news/news/regional/,वेबदुनिया क्षेत्रीय समाचार , World,Regional News in Hindi | Regional News | Latest Regional News | India  Regional News | प्रादेशिक समाचार | रीजनल न्यूज हिन्दी, Hindi 
http://andaazebayaanaur.blogspot.com/,अंदाज़-ए-बयाँ और , World,अंदाज़-ए-बयाँ और, Hindi 
http://jnw.name/,Жанатан Норт Убашыңтын , World,Jonathan North Washington's homepage, Kyrgyz 
http://www.bbc.co.uk/alba/,BBC Alba , World,BBC - Alba - Home, Na 
http://www.rinnai.com.tw/,Rinnai 林內 , World,Rinnai 林內：廚房設備系列專賣、日本第一品牌、365 天服務全年無休, Chinese 
http://www.richmondtamilsangam.org/,ரிச்மண்ட் தமிழ் சங்கம் , World,HOME | richmond-tamilsangam, Tamil 
http://www.munshigonj.com/,Munshigonj District , World,"মুন্সিগঞ্জের খবর | বিক্রমপুরের ইতিহাস শুধু একটি পরগনার ইতিহাস নহে, ইহা বঙ্গেরই ইতিহাস...", Bangla 
http://www.telanganaradio.com/,తెలంగాణ రేడియొ , World,Account Suspended, Telugu 
http://www.meteo.gov.mk/,Meteo , World,УХМР – Управа за хидрометеоролошки работи, Makedonski 
http://www.webteka.com/,Webteka , World,Webteka.com - Life in the System, Russian 
http://www.danica.cro.net/,Apartmaji Grabaštica , World,Apartmani Danica Grebaštica - Šibenik , Slovensko 
http://libertate-financiara.webs.com/,Afacere de succes , World,Prima pagina - Afacere de succes, Rumantsch 
http://stq.wikipedia.org/wiki/Roomelse,Roomelse , World,Roomelse – Wikipedia, Seeltersk 
http://urdu.inmylanguage.org/,اپنی زبان میں , World,"
	Translated Information
", Urdu 
http://www.netmarble.net/,넷마블 , World,넷마블 | 메인 - 즐거운 게임세상 넷마블!, Korean 
http://www.occitania.online.fr/aqui.comenca.occitania/,Aquí comença Occitània , World,"
Aquí comença Occitània
", Occitan 
http://www.unibo.it/Portale/Guida/Universita+nel+mondo/Unimondo.htm?idContinente=2,Università nel Mondo , World,"
	Mappa degli Accordi Internazionali - Università  di Bologna
", Italiano 
http://www.fryslan.frl/,Provinsje Fryslân , World,Home - Provincie Fryslan, Frysk 
http://www.landenweb.nl/,Landenweb , World,Informatie over landen streken eilanden en steden | landenweb.nl, Nederlands 
http://www.andersen-hues.de/,10 iir Andersen hüs , World,Andersen-Hüs , Nordfriisk 
http://groups.yahoo.com/group/landa-agado/,Dissendolisto landa-agado , World,Yahoo! Groups, Esperanto 
http://nhideki.tripod.com/africa/nhwelc.html,Karibu Afrika Mashariki , World,Karibu Afrika Mashariki, Kiswahili 
http://www.bbc.co.uk/czech/specials/1758_outposts_tyr/,Bašty zla , World,BBCCzech | “Bašty zla” podle USA, a 
http://arenys.org/arribat/,Averate a Arenys! , World,ARENYS.ORG: Arribat a Arenys, Asturianu 
http://www.osetia.ru/~toma/index2.html,Ирыстон , World,Iron fandyr, Ossetian 
http://www.arenys.org/arribat/aragones.htm,Arenys de Mar , World,¡Amana-te ta Arenys!, Rechional 
http://generation.by/,Generation Y , World,Generation.by, Belarusian 
http://www.airastana.com/,Эйр Астана , World,, Kazakh 
http://www.adver.am/,Ադվեռ , World,Օնլայն գովազդ կայքերում - adver.am, Armenian 
http://www.skifun.gr/,Skifun - Greek Snow Portal , World,Lainaa Verkosta Nopeasti -, Greek 
http://www.dominomagazin.com/,Domino magazin , World,Home - Domino Magazin, Srpski 
http://stq.wikipedia.org/wiki/Seelterlound,Seelterlound , World,Seelterlound – Wikipedia, Seeltersk 
http://www.eklektus.com/,Agapornis in Eklektus najlepse papige , World,.: Eklektus.com :., Slovensko 
http://penelope.uchicago.edu/Thayer/L/Roman/Texts/Frontinus/De_Aquis/text*.html,"Sextus Julius Frontinus, De Aquis Urbis Romae ", World,"
LacusCurtius • Frontinus — De Aquis
	", Lingua 
http://100krokiv.info/,100кроків.info , World,Історія Пласту | 100 кроків — історичний пластовий блог, Ukrainian 
http://www.codda.org/cultura/coddabolario/coddabolario-total.htm,Codda .org: Il coddabolario , World, Il coddabolario - La lingua sarda dall'ahiò alla zudda - , Sardu 
http://www.roekefloose.de/,Rökefloose e.V. , World,We san e Rökefloose e.V., Nordfriisk 
http://lgs.lu/,Lëtzebuerger Guiden a Scouten , World,Lëtzebuerger Guiden a Scouten, Recreatioun 
